key,displayName,englishName,scientificName,scientificNameAliases,originCountry,idealTemperatureRange,idealHumidityRange,wateringIntervalDays,lightRequirement,careDifficulty,careMemo,status,lightStars,difficultyStars
adenia_spinosa,アデニア・スピノサ,Adenia spinosa,Adenia spinosa,,南アフリカ,15〜30℃,30〜45%,10,bright_indirect,hard,とげのある枝を伸ばす生育期は土が乾いたら水を与え、落葉して休眠する冬は断水気味に管理する。強い直射日光よりも明るい場所を好み、屋外で管理する場合は真夏の西日を避けるとよい。寒さや過湿に弱く、休眠期に水を与えすぎると塊根が腐敗しやすいので注意する。アデニア属の植物は毒性のある成分を含むことが知られているため、ペットや子どもが誤食しないよう管理場所に十分注意する。,新規,3,4
adenia_fruticosa,アデニア・フルチコサ,Adenia fruticosa,Adenia fruticosa,,南アフリカ・ナミビア,15〜30℃,30〜45%,10,bright_indirect,hard,つる状に枝を伸ばす生育期は土が乾いたら水を与え、落葉して休眠する冬は断水して管理する。明るい半日陰から柔らかい日向を好み、強すぎる直射日光は塊根の表面を傷めることがある。過湿による根腐れや、休眠期の水の与えすぎによる塊根の軟化がよくあるトラブルなので、水はけの良い用土を使う。アデニア属の植物は毒性のある成分を含むことが知られているため、ペットや子どもが誤食しないよう管理場所に十分注意する。,新規,3,4
operculicarya_pachypus,オペルクリカリア・パキプス,Operculicarya pachypus,Operculicarya pachypus,,マダガスカル,15〜30℃,35〜55%,12,bright_direct,hard,成長がきわめて遅い塊根植物で、生育期は土が乾いてから数日後にたっぷり水を与え、落葉する冬は断水気味に管理する。屋外の日当たりの良い場所を好み、日照不足だと枝が間延びして樹形が乱れやすい。成長が遅いため過湿による根腐れの影響が大きく、一度傷めると回復に時間がかかるので水の与えすぎに特に注意する。ウルシ科に近縁で樹液に刺激性がある可能性があるため、ペットが誤食しないよう注意する。,新規,5,5
operculicarya_decaryi,オペルクリカリア・デカリー,Operculicarya decaryi,Operculicarya decaryi,,マダガスカル,15〜30℃,35〜55%,10,bright_direct,medium,パキプスに比べて成長が早く育てやすい塊根植物で、生育期は土が乾いたらたっぷり水を与え、落葉する冬は水やりを控えて休眠させる。屋外の日当たりの良い場所で管理すると枝が締まった良い樹形になり、日照不足だと徒長しやすい。過湿による根腐れが主なトラブルで、水はけの良い用土と風通しの良い置き場所を心がける。ウルシ科に近縁で樹液に刺激性がある可能性があるため、ペットが誤食しないよう注意する。,新規,4,3
cyphostemma_juttae,キフォステンマ・ジュッタエ,Cyphostemma juttae,Cyphostemma juttae,,ナミビア,15〜30℃,25〜45%,10,bright_direct,hard,生育期は土が乾いたらたっぷり水を与えて大きな葉を育て、落葉する冬は完全に断水して休眠させる。屋外の日当たりの良い場所を好み、日照不足だと葉が薄く弱々しくなる。休眠期に水を与えると根腐れしやすく、また急激な温度変化でも葉を落としやすいので、季節の変わり目は特に管理に注意する。ブドウ科の植物で樹液や果実に毒性が指摘されることがあるため、ペットや子どもが誤食しないよう注意する。,新規,5,4
cyphostemma_currorii,キフォステンマ・クラロリー,Cyphostemma currorii,Cyphostemma currorii,,ナミビア・アンゴラ,15〜28℃,25〜45%,12,bright_direct,hard,非常にゆっくり成長する塊根植物で、生育期でも水の与えすぎは禁物のため土が完全に乾いてから控えめに水を与え、落葉する冬は断水して休眠させる。屋外の強い日差しを好むが、輸入直後の株は根が弱っていることが多いため、最初は明るい日陰で養生してから徐々に日光に慣らすとよい。過湿による根腐れが最大のリスクで、一度傷むと回復が難しいため水はけの良い用土を使う。ブドウ科の植物で樹液や果実に毒性が指摘されることがあるため、ペットや子どもが誤食しないよう注意する。,新規,5,5
jatropha_podagrica,ヤトロファ・ポダグリカ（南洋桜）,Buddha Belly Plant,Jatropha podagrica,,中央アメリカ,15〜32℃,35〜55%,7,bright_direct,easy,比較的丈夫で育てやすい塊根植物で、生育期は土の表面が乾いたらたっぷり水を与え、冬は成長が緩やかになるため間隔を空けて乾燥気味に管理する。日当たりの良い場所を好み、赤い花を咲かせるには十分な日照が必要だが、真夏の強すぎる直射日光では葉焼けすることもある。低温に弱く冬に寒さに当てると落葉しやすいので、最低でも10℃以上を保てる室内に取り込む。種子や樹液に毒性があることが知られているため、ペットや子どもが誤食しないよう特に注意する。,新規,4,2
bombax_ellipticum,ボンバックス・エリプティクム,Shaving Brush Tree,Bombax ellipticum,Pseudobombax ellipticum,メキシコ・中央アメリカ,15〜30℃,35〜55%,7,bright_indirect,medium,生育期は大きな葉から多くの水分を蒸散するため土が乾いたらたっぷり水を与え、落葉する冬は水やりの間隔を大きく空けて乾燥気味に管理する。明るい半日陰から柔らかい日向を好み、強い直射日光に急に当てると葉焼けを起こしやすい。落葉のタイミングが不揃いになりやすく、季節外れに葉が落ちても慌てず水やりを調整すれば回復することが多い。毒性に関する明確な情報は少ないため、ペットや子どもが誤食しないよう注意する。,新規,3,3
stephania_erecta,ステファニア・エレクタ（亀甲鉾）,Stephania erecta,Stephania erecta,,タイ,15〜30℃,40〜60%,7,bright_indirect,easy,つるを勢いよく伸ばす生育期は土が乾いたら水を与え、秋につるが枯れて休眠に入ったら完全に断水して春の発芽を待つ。明るい半日陰を好み、強すぎる直射日光ではつるや葉が傷むことがある。休眠期は地上部がすべて枯れて何もない状態になるが、これは正常な生態なので慌てて水を与えないことが大切である。ツヅラフジ科の植物はアルカロイドを含むことが知られているため、ペットや子どもが誤食しないよう注意する。,新規,3,2
nolina_longifolia,ノリナ・ロンギフォリア,Nolina longifolia,Nolina longifolia,Beaucarnea longifolia,メキシコ,10〜30℃,25〜45%,14,bright_direct,easy,非常に乾燥に強い塊根植物で、生育期でも土が完全に乾いてから水を与え、冬はさらに間隔を空けて乾燥気味に管理する。屋外の日当たりの良い場所でよく育ち、耐寒性も比較的あるが霜には当てないよう注意する。過湿による根腐れがほぼ唯一と言える失敗要因で、水はけの良い用土を使えばトラブルは少ない。同属のポニーテールは毒性の報告が少ない植物とされるが、誤食は念のため避けるようにする。,新規,4,2
xerosicyos_danguyi,ゼロシキオス・ダングイ（銀月）,Silver Dollar Vine,Xerosicyos danguyi,,マダガスカル,15〜30℃,30〜50%,10,bright_direct,easy,つる性で丸い多肉質の葉を茂らせる生育期は土が乾いたら水を与え、冬は成長が緩やかになるため間隔を空けて乾燥気味に管理する。日当たりの良い場所を好み、支柱やフックに絡ませて仕立てると見栄えよく育つ。過湿による葉の落下や根腐れが主なトラブルで、比較的丈夫なため初めての塊根植物としても扱いやすい。ウリ科の植物で毒性に関する明確な情報は少ないため、ペットや子どもが誤食しないよう注意する。,新規,4,2
ficus_palmeri,フィカス・パルメリー,Rock Fig,Ficus palmeri,,メキシコ（バハカリフォルニア）,15〜32℃,30〜50%,10,bright_direct,medium,岩場に自生する塊根性のイチジクで、生育期は土が乾いたらたっぷり水を与え、落葉する冬は水やりを控えて休眠させる。屋外の強い日差しを好み、日照不足だと葉が小さく間延びしやすい。乾燥には強いが極端な過湿には弱く、根腐れを起こすと回復が難しいため水はけの良い用土を使う。イチジク属の樹液には刺激性があるとされるため、ペットが誤食したり樹液に触れたりしないよう注意する。,新規,5,3
uncarina_grandidieri,ウンカリナ・グランディディエリ,Uncarina grandidieri,Uncarina grandidieri,,マダガスカル,15〜32℃,35〜55%,7,bright_direct,medium,黄色い花を咲かせる生育期は土が乾いたらたっぷり水を与えて開花を促し、落葉する冬は断水気味に管理して休眠させる。日当たりの良い場所を好み、日照不足だと花付きが悪くなるため屋外や明るい窓辺で管理する。低温や過湿による根腐れがよくある失敗なので、気温が下がる前に室内へ取り込む。毒性に関する明確な情報は少ないため、ペットや子どもが誤食しないよう注意する。,新規,5,3
moringa_drouhardii,モリンガ・ドルアルディー,Moringa drouhardii,Moringa drouhardii,,マダガスカル,15〜32℃,30〜50%,7,bright_direct,medium,生育が早い塊根植物で、生育期は土が乾いたらたっぷり水を与え、落葉する冬は水やりの間隔を大きく空けて乾燥気味に管理する。屋外の強い日差しを好み、日照不足だと枝が細く間延びしやすい。成長が早いため根詰まりを起こしやすく、数年ごとの植え替えが必要になる点に注意する。モリンガ属は食用に利用されることでも知られるが、鉢植えでの誤食は念のため避けるべきである。,新規,5,3
adansonia_digitata,アダンソニア・ディギタータ（バオバブ）,African Baobab,Adansonia digitata,,アフリカ大陸,15〜32℃,30〜50%,10,bright_direct,medium,生育期は土が乾いたらたっぷり水を与え、落葉する冬は水やりの間隔を大きく空けて断水気味に管理する。屋外の強い日差しを好み、日照不足だと幹が細くひょろひょろに育ってしまう。比較的丈夫だが過湿には弱く、特に冬場の水の与えすぎによる根腐れに注意する。果実は現地で食用にされることで知られるが、鉢植えでの誤食は念のため避けるべきである。,新規,5,3
adansonia_za,アダンソニア・ザ,Za Baobab,Adansonia za,,マダガスカル,15〜32℃,30〜50%,12,bright_direct,hard,成長が遅く流通量も少ない塊根植物で、生育期は土が乾いてからたっぷり水を与え、落葉する冬は断水して休眠させる。屋外の強い日差しを好み、日照不足だと徒長して幹が締まりにくい。過湿による根腐れのほか、寒さに弱く低温にさらすと落葉や生育不良を起こしやすいので冬は室内の暖かい場所で管理する。果実は現地で食用にされることで知られるが、鉢植えでの誤食は念のため避けるべきである。,新規,5,4
adansonia_grandidieri,アダンソニア・グランディディエリ,Grandidier's Baobab,Adansonia grandidieri,,マダガスカル,18〜32℃,35〜55%,12,bright_direct,hard,マダガスカルを象徴するバオバブで、生育期は土が乾いたらたっぷり水を与え、落葉する冬は断水して休眠させる。他のバオバブよりも寒さに弱く、屋外の強い日差しを好む一方で冬は最低でも15℃以上を保てる室内で管理する必要がある。成長が非常に遅く過湿にも弱いため、根腐れを起こすと回復が難しい点に注意する。果実は現地で食用にされることで知られるが、鉢植えでの誤食は念のため避けるべきである。,新規,5,5
delonix_pumila,デロニクス・プミラ,Delonix pumila,Delonix pumila,,マダガスカル,15〜30℃,30〜50%,10,bright_direct,hard,小型のまま塊根が肥大する希少な植物で、生育期は土が乾いたらたっぷり水を与え、落葉する冬は断水して休眠させる。屋外の日当たりの良い場所を好み、日照不足だと徒長して塊根が締まりにくい。成長が遅く流通量も少ないため、過湿による根腐れを起こすと回復に時間がかかる点に特に注意する。マメ科の植物で種子に毒性が指摘される近縁種があるため、ペットや子どもが誤食しないよう注意する。,新規,5,4
pterodiscus_speciosus,プテロディスクス・スペシオサス,Pterodiscus speciosus,Pterodiscus speciosus,,南アフリカ,15〜28℃,25〜45%,12,bright_direct,hard,塊根が腐りやすい繊細な植物で、生育期でも土が完全に乾いてから控えめに水を与え、落葉する冬は完全に断水して休眠させる。屋外の日当たりの良い風通しの良い場所を好み、蒸れると塊根の表面から腐敗が進みやすい。水の与えすぎと寒さが重なると急速に傷むため、特に季節の変わり目は水やりを控えめにする。毒性に関する明確な情報は少ないため、ペットや子どもが誤食しないよう注意する。,新規,5,4
kedrostis_africana,ケドロスティス・アフリカーナ,Kedrostis africana,Kedrostis africana,,南アフリカ,15〜28℃,30〜50%,10,bright_indirect,easy,つる性で塊根が地表に露出して育つ植物で、生育期は土が乾いたら水を与え、つるが枯れて休眠する冬は断水して管理する。明るい半日陰から柔らかい日向を好み、強すぎる直射日光では塊根の表面が傷むことがある。休眠期に地上部のつるがすべて枯れても塊根が生きていれば春に再び芽吹くので、慌てて処分しないよう注意する。ウリ科の塊根には毒性が指摘される近縁種もあるため、ペットや子どもが誤食しないよう注意する。,新規,3,2
echeveria_elegans,エケベリア・エレガンス,Mexican Snowball,Echeveria elegans,月影,メキシコ,10℃〜25℃,30%〜50%,12,bright_indirect,easy,生育期の春と秋は用土がしっかり乾いてから底面までたっぷり水を与え、真夏と真冬は断水気味にして休眠を促す。日当たりの良い屋外や窓際で管理するが真夏の直射日光は葉焼けを招くため午前中の光や遮光ネットを活用する。日照不足になると徒長して葉の間隔が間延びし本来のロゼット形が崩れるので早めに置き場所を見直す。毒性情報は明確でないため誤食は避け、ペットや小さな子どもの手の届かない場所に置く。,新規,4,2
echeveria_agavoides,エケベリア・アガボイデス,Lipstick Echeveria,Echeveria agavoides,雅楽の舞,メキシコ,10℃〜28℃,30%〜50%,12,bright_indirect,easy,肉厚で先端が尖った葉が特徴で乾燥に強く水のやりすぎによる根腐れに注意する。生育期は土が完全に乾いてから数日おいてたっぷり水を与え、休眠期の真夏・真冬は月1回程度に控える。強い日差しに当てると葉先が美しく色づくが急な直射日光は葉焼けの原因になるため徐々に慣らす。葉が柔らかくしぼんでくるのは水切れまたは根の不調のサインなので早めに抜き上げて根を確認する。毒性情報は明確でないため誤食は避ける。,新規,4,2
echeveria_pulidonis,エケベリア・プリドニス,Pulido's Echeveria,Echeveria pulidonis,,メキシコ,10℃〜25℃,30%〜50%,10,bright_indirect,medium,青みがかった葉に赤い縁取りが出る美しい品種で寒暖差と十分な日照によって発色が良くなる。生育期は土の表面が乾いたらたっぷり水を与え受け皿に水を溜めないようにする。風通しが悪く蒸れる環境では葉が黒ずんだり腐ったりしやすいため夏場は特に注意する。徒長しやすい品種のため日照不足のサインである葉間の間延びを見逃さないようにする。毒性情報は明確でないため誤食は避ける。,新規,4,3
echeveria_setosa,エケベリア・セトーサ,Firecracker Plant,Echeveria setosa,白鳳,メキシコ,8℃〜25℃,30%〜50%,10,bright_indirect,medium,葉の表面全体を覆う白い産毛が特徴で水やりの際に毛の間に水が溜まると蒸れや斑点の原因になるため株元から静かに与える。生育期は土が乾いたらたっぷり水を与え休眠期は控えめにする。産毛が汚れやすいので雨ざらしや上からの水やりは避け風通しの良い場所で管理する。産毛が傷んで黒ずむのは蒸れや直射日光による日焼けのサインなので置き場所を見直す。毒性情報は明確でないため誤食は避ける。,新規,4,3
echeveria_runyonii_topsy_turvy,エケベリア・トプシータービー,Topsy Turvy,Echeveria runyonii 'Topsy Turvy',エケベリア・ルンヨニー,メキシコ,10℃〜25℃,30%〜50%,12,bright_indirect,easy,内側にカールしたスプーン状の白緑色の葉が特徴で丈夫で育てやすい人気品種。生育期は土が完全に乾いてからたっぷり水を与え真夏と真冬は断水気味に管理する。日照不足になると葉の反り返りが弱くなり徒長して間延びした姿になるため日当たりの良い場所を確保する。株分れしやすく群生株になりやすいので混み合ってきたら株分けして風通しを確保する。毒性情報は明確でないため誤食は避ける。,新規,4,2
echeveria_laui,エケベリア・ラウイ,Echeveria laui,Echeveria laui,,メキシコ（オアハカ州）,12℃〜25℃,30%〜45%,14,bright_indirect,hard,葉の表面を覆う白い粉（ブルーム）が非常に美しいが手で触れると粉が取れて見た目が損なわれるため取り扱いに注意する。過湿に弱く根腐れしやすいため用土は必ず完全に乾いてから水を与え特に梅雨と冬は水やり回数を減らす。強い直射日光と雨風を避け風通しの良い半日陰〜明るい日陰で管理するのが安全。ブルームが剥げた部分は元に戻らないため水やり・置き場所の変更時は葉に水や霧が直接かからないようにする。毒性情報は明確でないため誤食は避ける。,新規,3,5
echeveria_black_prince,エケベリア・ブラックプリンス,Black Prince,Echeveria affinis 'Black Prince',,メキシコ（交配種）,8℃〜25℃,30%〜50%,10,bright_indirect,medium,黒紫色の葉色が魅力で日照量と寒暖差が大きいほど色が濃く発色する。生育期は土が乾いたらたっぷり水を与え休眠期の夏冬は控えめにする。日照不足だと葉色が緑がかってぼやけるため一年を通してできるだけ明るい場所で管理する。低温期に水を与えすぎると凍傷のような黒い斑点が出ることがあるので冬は特に用土の乾き具合を確認する。毒性情報は明確でないため誤食は避ける。,新規,4,3
sedum_morganianum,セダム・モルガニアナム,Burro's Tail,Sedum morganianum,玉つづり,メキシコ・ホンジュラス,10℃〜25℃,30%〜50%,10,bright_indirect,medium,垂れ下がる茎に丸い葉が連なるハンギングに人気の品種で葉が非常に取れやすいため移動や水やりの際はできるだけ揺らさないようにする。生育期は土の表面が乾いたらたっぷり水を与え休眠期は乾かし気味に管理する。強い直射日光では葉焼けするため明るい室内や午前中だけ日が当たる場所が適している。葉がしなびて落ちやすくなるのは水切れまたは根詰まりのサインなので鉢の状態を確認する。毒性情報は明確でないため誤食は避ける。,新規,3,3
sedum_rubrotinctum,セダム・ルブロチンクタム,Jelly Bean Plant,Sedum rubrotinctum,虹の玉,メキシコ,8℃〜28℃,30%〜55%,10,bright_indirect,easy,ぷっくりとした豆のような葉が特徴で日光と寒暖差にしっかり当てると葉先が赤く色づく。生育期は土が乾いたらたっぷり水を与え真夏と真冬は控えめにして蒸れや凍害を防ぐ。丈夫で挿し木や葉挿しでも増やしやすく初心者にも扱いやすい品種。葉が落ちやすい性質があるため強風の当たる屋外や人の出入りが多い場所は避けると美しい姿を保ちやすい。毒性情報は明確でないため誤食は避ける。,新規,4,2
sedum_pachyphyllum,セダム・パキフィルム,Jelly Bean Sedum,Sedum pachyphyllum,乙女心,メキシコ,8℃〜28℃,30%〜50%,12,bright_indirect,easy,青みがかったぷっくり葉の先端が赤く染まる姿が人気で日照が十分だとより鮮やかに発色する。生育期は用土が乾いてからたっぷり水を与え休眠期の夏と冬は乾かし気味に管理する。徒長しやすいため日照不足には注意し屋外の明るい場所や日当たりの良い窓辺で管理する。葉がぶよぶよと柔らかくなるのは水の与えすぎによる根腐れのサインなので早めに水やりを見直す。毒性情報は明確でないため誤食は避ける。,新規,4,2
sedum_adolphii,セダム・アドルフィー,Golden Sedum,Sedum adolphii,銘月,メキシコ,10℃〜28℃,30%〜50%,10,bright_indirect,easy,黄金色の葉が特徴で強い日差しと寒暖差に当たるほど葉色が鮮やかなオレンジがかった黄色に染まる。生育期は土が乾いたらたっぷり水を与え真夏と真冬は乾燥気味に管理して蒸れを防ぐ。丈夫で群生しやすく初心者にも育てやすいが日照不足だと葉色がくすんで緑っぽくなる。茎が間延びして倒れやすくなったら日照不足のサインなのでより明るい場所へ移動する。毒性情報は明確でないため誤食は避ける。,新規,4,2
sempervivum_tectorum,センペルビブム・テクトルム,Common Houseleek,Sempervivum tectorum,長生草,ヨーロッパ（アルプス山脈周辺）,マイナス10℃〜25℃,40%〜60%,10,bright_indirect,easy,耐寒性が非常に高く屋外の寒冷地でも越冬できるため日本の多くの地域で戸外管理が可能。生育期の春秋は土が乾いたらたっぷり水を与え夏の高温多湿期は蒸れやすいため風通しを確保し水やりを控える。ロゼットの中心から子株を次々と出して群生するため鉢が窮屈になったら株分けして植え替える。真夏に葉がしおれたりロゼットが溶けたようになるのは蒸れによる根腐れのサインなので涼しい半日陰へ移動する。毒性情報は明確でないため誤食は避ける。,新規,4,2
sempervivum_arachnoideum,センペルビブム・アラクノイデウム,Cobweb Houseleek,Sempervivum arachnoideum,クモの巣万年草,ヨーロッパ（アルプス〜ピレネー山脈）,マイナス10℃〜22℃,40%〜60%,10,bright_indirect,medium,ロゼットの先端同士を結ぶクモの巣状の白い糸が特徴で寒さには強い一方で高温多湿の日本の夏を苦手とする。生育期の春秋は土が乾いたらしっかり水を与え真夏は風通しの良い涼しい半日陰で断水気味に管理する。密閉した室内や梅雨時の雨ざらしは蒸れによる腐敗の原因になるため屋外の雨のかからない軒下などが適している。ロゼットの中心が黒ずんだりべたついたりするのは蒸れのサインなので早めに風通しの良い場所へ移す。毒性情報は明確でないため誤食は避ける。,新規,4,3
aeonium_arboreum_atropurpureum,アエオニウム・アルボレウム黒法師,Black Rose,Aeonium arboreum var. atropurpureum,黒法師,モロッコ・カナリア諸島,5℃〜25℃,30%〜50%,10,bright_indirect,medium,黒紫色のロゼットが樹木状に育つ人気品種で冬に成長し夏に休眠する他の多肉と逆の生育サイクルを持つ点に注意する。秋〜春の生育期は土が乾いたらたっぷり水を与え真夏の高温期は断水気味にして蒸れによる腐敗を防ぐ。日照が不足すると葉色が黒紫から緑がかった色に戻るため一年を通してできるだけ日当たりの良い場所で管理する。真夏に葉がしおれて落ちるのは休眠期の自然な反応だが茎が黒く腐る場合は根腐れのサインなので水を控える。毒性情報は明確でないため誤食は避ける。,新規,4,3
aeonium_haworthii,アエオニウム・ハオルティ,Pinwheel Aeonium,Aeonium haworthii,小人の祭り,カナリア諸島,5℃〜25℃,30%〜50%,10,bright_indirect,medium,青緑色の葉先にほんのり赤い縁取りが入る小型のロゼットが群生する品種で冬型のため秋から春にかけて活発に生育する。生育期は土が乾いたらたっぷり水を与え真夏の休眠期は蒸れを避けるため水やりを大幅に減らす。高温多湿の夏を苦手とするため風通しの良い涼しい半日陰で管理し夏越しさせるのがポイント。茎が間延びして倒れやすくなったら日照不足のサインなので置き場所を見直すか切り戻して仕立て直す。毒性情報は明確でないため誤食は避ける。,新規,4,3
aeonium_sunburst,アエオニウム・サンバースト,Sunburst Aeonium,Aeonium davidbramwellii 'Sunburst',,カナリア諸島（園芸品種）,5℃〜25℃,30%〜50%,10,bright_indirect,medium,クリーム色と緑の斑が美しい葉に日光が当たると縁がピンクに染まる冬型の品種で秋から春が生育期にあたる。生育期は土の表面が乾いたらたっぷり水を与え真夏の高温期は休眠するため水やりを控えて蒸れを防ぐ。斑入り種のため他のアエオニウムより葉焼けしやすく真夏の強い直射日光は避けて明るい半日陰で管理する。斑の部分から傷んで茶色くなるのは葉焼けや蒸れのサインなので置き場所と風通しを見直す。毒性情報は明確でないため誤食は避ける。,新規,3,3
graptoveria_fred_ives,グラプトベリア・フレッド・アイベス,Fred Ives,Graptoveria 'Fred Ives',,交配種（メキシコ系原種由来）,8℃〜28℃,30%〜50%,12,bright_indirect,easy,パステルカラーの大ぶりなロゼットが特徴で寒暖差にしっかり当てると葉全体がピンクやオレンジに美しく染まる。生育期は土が完全に乾いてからたっぷり水を与え休眠期の夏と冬は乾かし気味に管理する。丈夫で育てやすく初心者にも向くが日照不足になると葉色がくすんで徒長しやすい。株が大きくなり下葉が枯れ落ちるのは自然な代謝だが茎全体が黒ずむ場合は根腐れのサインなので確認する。毒性情報は明確でないため誤食は避ける。,新規,4,2
graptoveria_debbie,グラプトベリア・デビー,Debbie,Graptoveria 'Debbie',,交配種,8℃〜28℃,30%〜50%,12,bright_indirect,easy,ふんわりとした粉（ブルーム）をまとう紫がかったピンク色の葉が魅力で日照と寒暖差によって色づきが増す。生育期は土が乾いたらたっぷり水を与え休眠期の真夏と真冬は控えめにして根腐れを防ぐ。葉の粉は触れると取れて戻らないため水やりや植え替えの際はできるだけ葉に触れないよう注意する。日照不足になると徒長して間延びし葉色もぼやけるため明るい場所で管理する。毒性情報は明確でないため誤食は避ける。,新規,4,2
pachyphytum_oviferum,パキフィツム・オビフェルム,Moonstones,Pachyphytum oviferum,桃美人,メキシコ,10℃〜25℃,30%〜50%,14,bright_indirect,medium,卵のようにふっくらとした白い粉をまとう葉が特徴で日照が十分だと桃色に美しく色づく。過湿に弱いため用土は完全に乾いてから数日おいてたっぷり水を与え特に梅雨と冬は水やり回数を大きく減らす。葉が非常に取れやすくまた表面の粉も触れると剥げてしまうため水やりや移動の際は葉に直接触れないよう注意する。葉がしぼんでシワが寄るのは水切れのサインだが同時にぶよぶよと柔らかい場合は根腐れの可能性があるため見極めが必要。毒性情報は明確でないため誤食は避ける。,新規,3,3
graptopetalum_paraguayense,グラプトペタルム・パラグアイエンセ,Ghost Plant,Graptopetalum paraguayense,朧月,メキシコ,5℃〜28℃,30%〜55%,12,bright_indirect,easy,白灰色を帯びた大ぶりの葉が特徴で非常に丈夫で寒さにも暑さにも比較的強く初心者向けの代表的な多肉植物。生育期は土が乾いたらたっぷり水を与え休眠期の真夏と真冬は乾かし気味に管理する。葉が非常に取れやすい性質があり落ちた葉からも簡単に発根して増える生命力の強さを持つ。徒長すると茎が間延びして倒れやすくなるためできるだけ日当たりの良い場所で管理し伸びすぎたら切り戻す。毒性情報は明確でないため誤食は避ける。,新規,4,1
senecio_mandraliscae,青い鳥,Blue Chalksticks,Senecio mandraliscae,Curio talinoides var. mandraliscae,南アフリカ,10〜28℃,30〜50%,10,bright_direct,easy,春秋の生育期はしっかり乾いてからたっぷり水を与え、夏と冬は月1〜2回程度に控えると根腐れを防げます。日照不足になると茎が間延びして徒長しやすいため、屋外の明るい直射日光下か日当たりの良い窓辺で管理してください。葉が萎びてシワが寄る、または落葉が続く場合は水不足か根詰まりのサインです。キク科植物特有の毒性が指摘されているため、犬猫がいる家庭では誤食に注意してください。,新規,4,2
senecio_articulatus,七宝樹,Candle Plant,Senecio articulatus,,南アフリカ,10〜28℃,30〜50%,12,bright_direct,easy,生育期の春秋はしっかり乾かしてから水やりし、休眠期の夏は断水気味に管理すると茎の腐敗を防げます。日照が不足すると節間が間延びして徒長しやすいため、風通しの良い明るい場所に置いてください。茎にシワが寄ったりブヨブヨと軟化したりする場合は根腐れの兆候です。毒性情報は明確でないため、ペットのいる家庭では誤食を避けてください。,新規,4,2
senecio_haworthii,白銀の壺,Cocoon Plant,Senecio haworthii,Curio haworthii,南アフリカ,12〜28℃,20〜40%,14,bright_direct,medium,白い産毛に覆われた葉は多湿に非常に弱いため、土がしっかり乾いてから少なめに水を与え、葉に水をかけないよう注意してください。強い直射日光と風通しの良い環境を好み、日照不足や過湿になると産毛が抜けて緑の地肌が目立ち美観が損なわれます。葉がベタついたり黒ずんだりする場合は蒸れや根腐れのサインです。キク科特有の毒性が指摘されているため、犬猫のいる家庭では誤食に注意してください。,新規,5,3
senecio_scaposus,万宝,Senecio scaposus,Senecio scaposus,,南アフリカ,10〜28℃,30〜50%,12,bright_direct,medium,細長い筒状の葉に水を蓄えるため、土が完全に乾いてからたっぷり水を与え、過湿による軟化を避けてください。強い日差しを好み、日照不足だと葉が間延びして垂れ下がりやすくなります。葉先が茶色く枯れ込む場合は水不足、葉がブヨブヨになる場合は根腐れの可能性があります。毒性情報は明確でないため、ペットのいる家庭では誤食を避けてください。,新規,5,3
kalanchoe_thyrsiflora,唐印,Flapjacks,Kalanchoe thyrsiflora,Kalanchoe luciae,南アフリカ,5〜25℃,30〜50%,10,bright_direct,easy,生育期の秋〜春は土が乾いたらたっぷり水を与え、夏の休眠期は控えめにして蒸れを防いでください。強い日差しと寒暖差に当てると葉の縁が紅葉して美しく色づきますが、日照不足だと緑のままで間延びします。葉が黄色く柔らかくなる場合は水の与えすぎによる根腐れのサインです。カランコエ属は強心配糖体を含み犬猫に有毒との報告があるため、誤食させないよう注意してください。,新規,5,2
kalanchoe_orgyalis,扇雀,Copper Spoons,Kalanchoe orgyalis,,マダガスカル,10〜28℃,30〜50%,10,bright_direct,easy,土がしっかり乾いてから水を与え、特に冬は乾燥気味に管理して根腐れを防いでください。日照不足になると葉裏の銅色の産毛による色づきが薄れて徒長しやすくなるため、屋外や窓際の明るい場所で育ててください。葉が落ちやすくなったりカビが生えたりする場合は多湿や風通し不足が原因です。カランコエ属は犬猫に対して毒性が報告されているため、誤食に注意してください。,新規,5,2
kalanchoe_eriophylla,福兎耳,Snow White Panda Plant,Kalanchoe eriophylla,,マダガスカル,10〜28℃,30〜50%,12,bright_indirect,easy,白い綿毛に覆われた葉は蒸れに弱いため、土が乾いてから水やりし、葉に水がかからないよう注意してください。強すぎる直射日光より明るい半日陰を好み、日照不足だと葉が間延びして姿が乱れます。葉が黒ずんだりカビが生えたりする場合は過湿や風通し不足のサインです。カランコエ属は犬猫に有毒との報告があるため、誤食させないよう管理してください。,新規,3,2
agave_titanota,チタノタ,Titanota Agave,Agave titanota,,メキシコ,5〜30℃,20〜40%,14,bright_direct,medium,根が細いため水の与えすぎに弱く、土が完全に乾いてから与えるくらい乾燥気味の管理が基本です。強い直射日光に当てることで葉が引き締まり白い爪が際立ちますが、日照不足だと葉が間延びして間伸びした姿になります。葉の中心が黒く腐る場合は水の与えすぎや冠水による腐敗のサインです。葉先の鋭いトゲは小型ペットや子どもに危険なため、置き場所に注意してください。,新規,5,3
