key,displayName,englishName,scientificName,scientificNameAliases,originCountry,idealTemperatureRange,idealHumidityRange,wateringIntervalDays,lightRequirement,careDifficulty,careMemo,status,lightStars,difficultyStars
ficus_pumila_variegata,フィカス・プミラ（斑入り）,Variegated Creeping Fig,Ficus pumila 'Variegata',,東アジア,10〜25℃,50〜60%,5,bright_indirect,easy,つる性で乾燥に弱いため、春〜秋は土の表面が乾いたらこまめに水を与え、冬もやや乾かし気味にしつつ完全に乾かさないよう管理する。斑入り葉は光量不足で緑化しやすい一方、直射日光では葉焼けしやすいのでレースカーテン越しの明るい場所が適する。水切れが続くと葉が縮れて落ちやすいので、ハンギングや壁面仕立てでは特に乾燥に注意する。ゴムの木の仲間は樹液に刺激成分を含むため、犬や猫が誤食すると口内炎などを起こすことがあるため注意する。,新規,3,2
peperomia_caperata,ペペロミア・カペラータ,Emerald Ripple Peperomia,Peperomia caperata,Peperomia 'Emerald Ripple',南米（ブラジル）,18〜28℃,50〜60%,8,bright_indirect,easy,多肉質の葉に水を蓄えるため、春〜秋は土の表面が乾いてから数日後に水を与え、冬はさらに間隔を空けて乾燥気味に管理する。直射日光は葉焼けの原因になるため、明るい日陰やレースカーテン越しの光が適する。水の与えすぎによる根腐れがもっとも多い失敗例なので、受け皿に水を溜めないようにする。Peperomia属は一般に犬猫に対する毒性は低いとされるが、誤食は避けるようにする。,新規,2,2
peperomia_angulata,ペペロミア・アングラータ,Peperomia Angulata,Peperomia angulata,,南米,18〜27℃,50〜60%,8,bright_indirect,easy,多肉質の葉茎に水分を蓄えるため、土の表面が乾いてから数日空けて水を与え、冬は月2回程度まで頻度を落とす。強い直射日光は苦手なので、明るい室内のレースカーテン越しの場所で管理する。水のやりすぎによる茎の腐敗が起きやすいので、鉢の水はけと風通しを確保する。Peperomia属は一般に犬猫への毒性は低いとされるが、誤食は避けるようにする。,新規,2,2
peperomia_hope,ペペロミア・ホープ,Peperomia Hope,Peperomia tetraphylla 'Hope',Peperomia quadrangularis 'Hope',熱帯アメリカ（交配種）,18〜28℃,50〜60%,7,bright_indirect,easy,垂れ下がる多肉質の葉に水を蓄えるため、土の表面が乾いてから数日後に水を与え、冬は乾燥気味に管理する。ハンギングで育てることが多く、明るい室内の間接光を好むが直射日光は葉焼けの原因になる。水のやりすぎによる根腐れや、逆に極端な乾燥によるしわ・落葉がよくある失敗なので土の状態をよく確認する。Peperomia属は一般に犬猫への毒性は低いとされるが、誤食は避けるようにする。,新規,2,2
peperomia_rotundifolia,ペペロミア・ロツンディフォリア,Trailing Jade Peperomia,Peperomia rotundifolia,,中南米,18〜27℃,50〜60%,8,bright_indirect,easy,丸く小さな多肉質の葉に水分を蓄えるため、土の表面が乾いてから数日空けて水を与え、冬はさらに乾燥気味にする。強い直射日光より明るい室内の間接光を好み、日照不足だと茎が間延びしやすい。水の与えすぎによる茎や根の腐敗がよくある失敗なので、風通しの良い環境で管理する。Peperomia属は一般に犬猫への毒性は低いとされるが、誤食は避けるようにする。,新規,2,2
begonia_rex,レックスベゴニア,Rex Begonia,Begonia rex,,インド北東部,18〜25℃,55〜70%,5,bright_indirect,hard,土の表面が乾いたら鉢底から流れる程度に水を与え、冬はやや乾燥気味に管理するが極端な乾燥は避ける。強い直射日光や乾燥した風を嫌うため、明るい半日陰で湿度を保った環境が適する。乾燥や急な湿度低下でカラフルな葉が縮れたり色が褪せたりしやすいので、加湿器や霧吹きで湿度管理を行う。Begonia属は誤食すると口や消化器を刺激する成分を含むとされ、犬や猫が葉や茎をかじると嘔吐や口内炎を起こすことがあるため注意する。,新規,3,4
begonia_masoniana,アイアンクロスベゴニア,Iron Cross Begonia,Begonia masoniana,,中国,18〜26℃,55〜70%,5,bright_indirect,hard,土の表面が乾いたら水を与え、冬は乾燥気味にしつつ完全に乾かしきらないよう管理する。強い直射日光を嫌い、明るい半日陰で高めの湿度を保つと葉の模様が美しく育つ。乾燥した室内では葉先が茶色く縮れやすいので、葉水や加湿器での湿度管理が効果的。Begonia属は誤食すると口や消化器を刺激する成分を含むとされ、犬や猫が誤食すると嘔吐や口内炎を起こすことがあるため注意する。,新規,3,4
platycerium_bifurcatum,ビカクシダ（コウモリラン）,Staghorn Fern,Platycerium bifurcatum,,オーストラリア・ニューギニア,15〜28℃,55〜70%,7,bright_indirect,medium,貯水葉の内側に水が溜まるよう、生育期はたっぷり水を与えるかミズゴケを湿らせ、冬はやや乾燥気味に管理する。強い直射日光を避けた明るい半日陰やレースカーテン越しの場所が適し、風通しの良い環境を好む。水の与えすぎによる貯水葉やミズゴケの蒸れ・黒ずみがよくあるトラブルなので、風通しと乾湿のメリハリを意識する。着生植物のため一般的な毒性情報は明確でなく、犬や猫の誤食は避けるようにする。,新規,3,3
pteris_cretica,プテリス,Cretan Brake Fern,Pteris cretica,,地中海沿岸〜アジア,15〜25℃,60〜70%,4,bright_indirect,medium,乾燥に弱いため、春〜秋は土の表面が乾く前にこまめに水を与え、冬もやや控えめにしつつ乾かしすぎないよう注意する。直射日光を避けた明るい日陰を好み、乾いた空気の場所では葉先が枯れ込みやすい。水切れや空気の乾燥が続くと葉が茶色くパリパリになりやすいので、葉水や加湿で湿度を保つ。シダ類は一般に犬猫への毒性は低いとされるが、誤食は避けるようにする。,新規,2,3
phlebodium_aureum,フレボディウム・オーレウム,Blue Star Fern,Phlebodium aureum,Polypodium aureum,中南米,15〜26℃,50〜65%,6,bright_indirect,easy,根茎（リゾーム）に水分を蓄える性質があるため、土の表面が乾いたら水を与え、冬はやや乾燥気味に管理する。他のシダより乾燥に強いが、直射日光は避け明るい間接光の場所で育てる。水の与えすぎによる根腐れがよくある失敗なので、鉢の水はけを確認して受け皿の水は溜めない。シダ類は一般に犬猫への毒性は低いとされるが、誤食は避けるようにする。,新規,2,2
asplenium_nidus,タニワタリ,Bird's Nest Fern,Asplenium nidus,,熱帯アジア・オーストラリア,18〜28℃,60〜70%,5,bright_indirect,medium,土の表面が乾いたらたっぷり水を与え、冬もやや乾燥気味にしつつ完全に乾かさないよう管理する。強い直射日光は葉を傷めるため、明るい半日陰やレースカーテン越しの場所が適する。乾燥した室内では葉先が茶色くなりやすいので、葉水などで湿度を保つとよい。シダ類は一般に犬猫への毒性は低いとされるが、誤食は避けるようにする。,新規,2,3
rhapis_humilis,シュロチク,Slender Lady Palm,Rhapis humilis,,中国南部,10〜28℃,40〜60%,7,bright_indirect,easy,生育期の春〜秋は土の表面が乾いたらたっぷり水を与え、冬は乾燥気味にして根腐れを防ぐ。半日陰でも育つが、明るい室内の方が葉色よく育つため直射日光を避けたレースカーテン越しの場所に置く。水のやりすぎや風通しの悪さによる根腐れ・カイガラムシの発生がよくあるトラブルなので、鉢の水はけと風通しを確保する。ヤシ科植物は一般に犬猫への毒性は低いとされるが、誤食は避けるようにする。,新規,2,2
rhapis_excelsa,カンノンチク,Broadleaf Lady Palm,Rhapis excelsa,,中国南部,10〜28℃,40〜60%,7,bright_indirect,easy,春〜秋は土の表面が乾いたらたっぷり水を与え、冬は水やり回数を減らして乾燥気味に管理する。耐陰性があり室内の明るい日陰でも育つが、極端に暗い場所では葉のツヤが失われやすい。水の与えすぎによる根腐れや、乾燥した環境でのハダニ発生がよくある失敗例なので注意する。ヤシ科植物は一般に犬猫への毒性は低いとされるが、誤食は避けるようにする。,新規,2,2
dypsis_decaryi,パラソルパーム,Triangle Palm,Dypsis decaryi,Neodypsis decaryi,マダガスカル,15〜28℃,40〜55%,7,bright_direct,medium,生育期は土の表面が乾いたらたっぷり水を与え、冬は乾燥気味に管理して根腐れを防ぐ。日光を好む種類なので、できるだけ日当たりの良い窓辺や屋外の明るい場所で管理する。日照不足だと葉が間延びして三角形の樹形が乱れやすいので、光量を十分に確保する。ヤシ科植物は一般に犬猫への毒性は低いとされるが、誤食は避けるようにする。,新規,4,3
cordyline_fruticosa,コルディリネ,Ti Plant,Cordyline fruticosa,Cordyline terminalis,東南アジア・太平洋諸島,16〜28℃,50〜60%,6,bright_indirect,medium,生育期は土の表面が乾いたらたっぷり水を与え、冬はやや乾燥気味に管理して水やり頻度を落とす。カラフルな葉色を保つには明るい光が必要で、日照不足だと発色が悪くなりやすい。乾燥やチッ素過多による葉先の枯れ込みがよくある失敗例なので、肥料の与えすぎに注意する。Cordyline属は犬や猫が誤食すると嘔吐や食欲不振などを起こすことが知られているため、ペットのいる家庭では置き場所に注意する。,新規,3,3
pellionia_repens,ペリオニア,Trailing Watermelon Begonia,Pellionia repens,,東南アジア,18〜27℃,55〜65%,5,bright_indirect,medium,乾燥に弱いつる性植物のため、土の表面が乾いたらこまめに水を与え、冬もやや控えめにしつつ完全に乾かさないよう管理する。強い直射日光は避け、明るい室内の間接光の当たる場所やハンギングで育てるとよい。乾燥や水切れで葉がしおれたり茶色く縮れたりしやすいので、葉水で湿度を補うとよい。一般的な毒性情報は明確でないため、犬や猫の誤食は避けるようにする。,新規,2,3
soleirolia_soleirolii,ソレイロリア（ミニミニ）,Baby's Tears,Soleirolia soleirolii,Helxine soleirolii,地中海沿岸の島嶼部,15〜25℃,55〜70%,3,bright_indirect,medium,非常に乾燥に弱いため、春〜秋は土が乾く前にこまめに水を与え、冬もやや控えめにしつつ乾燥させすぎないよう管理する。強い直射日光を避け、明るい室内の間接光の当たる場所で育てるとよい。水切れが続くと細かい葉が一気に萎れて枯れ込みやすいので、乾燥に気づいたらすぐに水を与える。Soleirolia属は一般に犬猫への毒性は低いとされるが、誤食は避けるようにする。,新規,2,3
calathea_white_fusion,カラテア・ホワイトフュージョン,Calathea White Fusion,Calathea 'White Fusion',Goeppertia 'White Fusion',南米（交配種）,18〜26℃,60〜70%,5,bright_indirect,hard,土の表面が乾いたら水を与え、冬はやや控えめにしつつ完全に乾かさないよう管理する。強い直射日光や乾燥した空気を嫌うため、明るい半日陰で高めの湿度を保った環境が適する。水道水中のミネラルや乾燥に敏感で、葉先が茶色く枯れ込みやすいので、できれば浄水やくみ置き水を使い加湿を心がける。Calathea属は一般に犬猫への毒性は低いとされるが、誤食は避けるようにする。,新規,3,4
calathea_roseopicta,カラテア・ロゼオピクタ,Rose-painted Calathea,Calathea roseopicta,Goeppertia roseopicta,ブラジル,18〜26℃,60〜70%,5,bright_indirect,hard,土の表面が乾いたら水を与え、冬はやや控えめにしつつ極端に乾燥させないよう管理する。強い直射日光を避けた明るい半日陰で、高めの湿度を保つと美しい葉模様が保たれる。乾燥した室内では葉先が枯れ込んだり葉が丸まったりしやすいので、加湿器や葉水で湿度管理を行う。Calathea属は一般に犬猫への毒性は低いとされるが、誤食は避けるようにする。,新規,3,4
dracaena_rainbow,ドラセナ・レインボー,Dracaena Rainbow,Dracaena marginata 'Rainbow',,マダガスカル（Dracaena marginataの園芸品種）,15〜28℃,40〜60%,8,bright_indirect,easy,乾燥に強いため、土の表面がしっかり乾いてから水を与え、冬はさらに間隔を空けて乾燥気味に管理する。ピンクがかった葉色を保つには明るい光が必要で、日照不足だと色が薄くなりやすい。水の与えすぎによる根腐れがよくある失敗例なので、鉢の水はけを確認する。Dracaena属は犬や猫が誤食すると嘔吐や食欲不振、猫では瞳孔散大などを起こすことが知られているため、ペットのいる家庭では置き場所に注意する。,新規,3,2
dracaena_compacta,ドラセナ・コンパクタ,Dracaena Compacta,Dracaena fragrans 'Compacta',,熱帯アフリカ（Dracaena fragransの園芸品種）,15〜28℃,40〜60%,8,bright_indirect,easy,乾燥に強いため、土の表面がしっかり乾いてから水を与え、冬はさらに乾燥気味に管理する。耐陰性があるが、明るい室内に置くとコンパクトな葉のロゼットが美しく保たれる。水のやりすぎや低温による根腐れがよくある失敗例なので、冬場は水やり頻度を控える。Dracaena属は犬や猫が誤食すると嘔吐や食欲不振などを起こすことが知られているため、ペットのいる家庭では置き場所に注意する。,新規,2,2
dracaena_warneckii,ドラセナ・ワーネッキー,Dracaena Warneckii,Dracaena fragrans 'Warneckii',Dracaena deremensis 'Warneckii',熱帯アフリカ,15〜28℃,40〜60%,8,bright_indirect,easy,乾燥に強いため、土の表面がしっかり乾いてから水を与え、冬はさらに間隔を空けて管理する。白い縞模様の葉は明るい場所ほどはっきり出るため、レースカーテン越しの明るい場所に置くとよい。水の与えすぎによる根腐れや、低温による葉先の傷みがよくある失敗例なので冬場の水やりは控えめにする。Dracaena属は犬や猫が誤食すると嘔吐や食欲不振などを起こすことが知られているため、ペットのいる家庭では置き場所に注意する。,新規,3,2
hoya_kerrii,ホヤ・ケリー,Sweetheart Hoya,Hoya kerrii,,タイ・東南アジア,18〜28℃,40〜60%,10,bright_indirect,easy,多肉質の葉に水分を蓄えるため、土がしっかり乾いてから水を与え、冬はさらに乾燥気味に管理する。ハート形の葉を美しく保つには明るい光が必要だが、強い直射日光は葉焼けの原因になるためレースカーテン越しの場所が適する。水の与えすぎによる根腐れが最も多い失敗例なので、水やりの間隔を空けすぎるくらいがちょうどよい。Hoya属は一般に犬猫への毒性は低いとされるが、誤食は避けるようにする。,新規,3,2
hoya_pubicalyx,ホヤ・プビカリクス,Hoya Pubicalyx,Hoya pubicalyx,,フィリピン,18〜28℃,45〜60%,9,bright_indirect,medium,多肉質の葉とつるに水分を蓄えるため、土がしっかり乾いてから水を与え、冬はさらに間隔を空けて乾燥気味にする。よく開花させるには明るい光が必要で、レースカーテン越しの明るい窓辺が適するが強い直射日光は葉焼けの原因になる。水の与えすぎによる根腐れや、日照不足によるつるの間延びがよくある失敗例なので注意する。Hoya属は一般に犬猫への毒性は低いとされるが、誤食は避けるようにする。,新規,3,3
begonia_angel_wing,エンゼルウィングベゴニア,Angel Wing Begonia,Begonia × corallina,,ブラジル（交配種）,16〜26℃,50〜60%,6,bright_indirect,medium,土の表面が乾いたら水を与え、冬はやや控えめにしつつ完全に乾かさないよう管理する。翼のような葉と花を楽しむには明るい光が必要だが、強い直射日光は葉焼けの原因になるためレースカーテン越しの場所が適する。過湿による茎の腐敗や、乾燥による落葉がよくある失敗例なので水やりのリズムを一定に保つ。Begonia属は誤食すると口や消化器を刺激する成分を含むとされ、犬や猫が誤食すると嘔吐や口内炎を起こすことがあるため注意する。,新規,3,3
nephrolepis_obliterata,キンバリークイーンファーン,Kimberly Queen Fern,Nephrolepis obliterata 'Kimberly Queen',,オーストラリア,15〜27℃,55〜65%,5,bright_indirect,easy,乾燥に弱いため、春〜秋は土の表面が乾く前にこまめに水を与え、冬もやや控えめにしつつ乾かしすぎないよう管理する。直射日光を避けた明るい半日陰を好み、屋外の明るい日陰でも育てやすい。空気が乾燥すると葉先が茶色くパリパリになりやすいので、葉水や加湿で対応する。シダ類は一般に犬猫への毒性は低いとされるが、誤食は避けるようにする。,新規,2,2
dracaena_sanderiana,ドラセナ・サンデリアーナ（幸運竹）,Lucky Bamboo,Dracaena braunii,Dracaena sanderiana,西アフリカ（カメルーンなど）,18〜28℃,45〜60%,7,bright_indirect,easy,水栽培の場合は水を1週間に1回程度交換し、土植えの場合は土の表面が乾いたら水を与え冬はやや控えめにする。直射日光は葉焼けの原因になるため、明るい室内の間接光の当たる場所で管理する。水栽培では水の汚れや根腐れによる茎の黒ずみがよくある失敗例なので、こまめな水替えを心がける。Dracaena属は犬や猫が誤食すると嘔吐や食欲不振などを起こすことが知られているため、ペットのいる家庭では置き場所に注意する。,新規,2,1
pachypodium_lamerei,パキポディウム・ラメリー,Madagascar Palm,Pachypodium lamerei,,マダガスカル,15〜32℃,30〜50%,10,bright_direct,medium,生育期の春〜秋は土の表面が完全に乾いてから数日置いてたっぷり水を与え、11月頃から徒長を防ぐため徐々に断水し冬は月1回程度かごく控えめにする。年間を通して屋外の直射日光が当たる場所や日当たりの良い窓辺で管理し、日照不足になると茎が間延びしてひょろひょろになるので注意する。過湿による株元の腐敗や、急な環境変化での落葉がよくあるトラブルで、腐敗を見つけたら患部を切除して乾燥させる。ASPCA（米国動物愛護協会）はマダガスカルパルムを犬猫に有毒な植物として挙げているため、ペットが届かない場所に置くこと。,新規,5,3
pachypodium_rosulatum,恵比寿笑い,Elephant's Foot,Pachypodium rosulatum,,マダガスカル,15〜30℃,30〜50%,10,bright_direct,medium,生育期は土がしっかり乾いてから水を与え、休眠期の冬は落葉して休眠するため断水気味に管理する。丸く膨らんだ塊根を日光によく当てることで締まった株姿になるため、屋外や日当たりの良い窓辺で管理する。水の与えすぎによる塊根の腐敗や、日照不足での間延びが代表的な失敗例なので風通しも確保する。近縁のパキポディウム属は誤食に注意が必要とされる植物として知られるため、ペットのいる家庭では手の届かない場所で管理する。,新規,5,3
pachypodium_gracilius,パキポディウム・グラキリス,Pachypodium gracilius,Pachypodium rosulatum var. gracilius,Pachypodium gracilius,マダガスカル,15〜30℃,30〜45%,10,bright_direct,hard,生育期の水やりは土が完全に乾いてから数日後にたっぷり与え、成長が止まる冬は葉が落ちたら断水して休眠させる。強い直射日光を好むため屋外や温室で管理し、日照不足だと徒長して塊根の形が崩れやすい。輸入株は根が弱っていることが多く、過湿による腐敗や急な発根不良が起きやすいので水はけの良い用土を使う。パキポディウム属は誤食に注意が必要とされる植物として扱われるため、ペットが触れない場所に置くこと。,新規,5,4
pachypodium_geayi,パキポディウム・ゲアイー,Pachypodium geayi,Pachypodium geayi,,マダガスカル,15〜32℃,30〜50%,10,bright_direct,medium,ラメリーによく似た姿を持ち、生育期は土が乾いたらたっぷり水を与え、冬の休眠期は落葉に合わせて断水する。強い日差しを好むため屋外や日当たりの良い場所で管理し、室内の窓際だけでは徒長しやすい。過湿による株元の腐敗や、寒さに当てた際の落葉トラブルが多いので冬は室内の暖かい場所に移動させる。パキポディウム属は誤食に注意が必要とされる植物のため、ペットが近づけない場所で育てること。,新規,5,3
pachypodium_saundersii,パキポディウム・サンデルシー,Pachypodium saundersii,Pachypodium saundersii,,南アフリカ・モザンビーク,15〜30℃,30〜50%,10,bright_direct,hard,生育期は土がしっかり乾いてから水を与え、秋以降葉が黄ばみ始めたら徐々に水を減らして冬は断水して休眠させる。屋外の直射日光下でよく締まった塊根に育つが、真夏の西日が強すぎる環境では葉焼けを起こすことがあるため半日陰に移すとよい。加湿状態が続くと株元から腐りやすく、逆に冬に水を与えすぎると休眠が乱れて枯れることがある。パキポディウム属は誤食に注意が必要とされる植物として扱われるため、ペットのいる家庭では設置場所に配慮する。,新規,4,4
pachypodium_densiflorum,パキポディウム・デンシフローラム,Pachypodium densiflorum,Pachypodium densiflorum,,マダガスカル,15〜30℃,30〜45%,10,bright_direct,hard,生育期の水やりは土が乾いてからたっぷりと与え、冬に落葉したら休眠に入るためほぼ断水して管理する。日照不足になると徒長しやすく、塊根が締まらずひょろっとした姿になるので屋外や温室でしっかり日に当てる。過湿による根腐れが最大のトラブルで、特に気温が下がる時期の水やりは根腐れの原因になりやすい。パキポディウム属は誤食に注意が必要とされる植物として扱われるため、ペットの誤食を防げる場所に置く。,新規,5,4
pachypodium_brevicaule,パキポディウム・ブレビカウレ,Pachypodium brevicaule,Pachypodium brevicaule,,マダガスカル,15〜28℃,25〜40%,12,bright_direct,hard,扁平に育つ塊根植物で、生育期でも水の与えすぎは厳禁のため土が完全に乾いてから数日後に少量与える程度にとどめ、冬は完全断水で休眠させる。強い日差しと風通しを好むため屋外の棚など蒸れない環境で管理し、室内の多湿な環境では根腐れしやすい。塊根植物の中でも特に腐敗しやすい品種で、株元が黒ずんできたら根腐れのサインなので早めに対処する。パキポディウム属は誤食に注意が必要とされる植物のため、ペットが触れられない場所での管理を徹底する。,新規,5,5
pachypodium_baronii,パキポディウム・バロニー,Pachypodium baronii,Pachypodium baronii,,マダガスカル,18〜30℃,30〜50%,10,bright_direct,hard,赤い花を咲かせる人気種で、生育期は土が乾いたらたっぷり水を与え、冬の休眠期は落葉に合わせて断水気味にする。寒さにやや弱いため冬は室内の暖かい場所に移動し、最低でも15℃程度は保つようにする。低温や過湿による根腐れ、日照不足による花付きの悪さが代表的なトラブルなので、屋外の日当たりの良い場所での管理が望ましい。パキポディウム属は誤食に注意が必要とされる植物のため、ペットが近づけない場所に置くこと。,新規,5,4
pachypodium_succulentum,パキポディウム・スクレンツム,Pachypodium succulentum,Pachypodium succulentum,,南アフリカ,12〜28℃,30〜45%,12,bright_direct,medium,他のパキポディウムよりやや寒さに強く、生育期は土が乾いてから水を与え、休眠期の冬は断水気味に管理する。屋外の日当たりの良い場所を好み、日照不足だと徒長してとげのある枝が間延びする。過湿による塊根の腐敗が主なトラブルで、水はけの良い用土と鉢を使うことが重要になる。パキポディウム属は誤食に注意が必要とされる植物のため、ペットの誤食を防げる場所で育てる。,新規,4,3
adenium_obesum,アデニウム・オベスム（デザートローズ）,Desert Rose,Adenium obesum,,東アフリカ・アラビア半島,15〜32℃,30〜50%,7,bright_direct,medium,生育期の春〜秋は土が乾いたらたっぷり水を与えて開花を促し、気温が下がる晩秋以降は落葉に合わせて徐々に水を減らし冬はほぼ断水する。花付きを良くするには屋外や温室でしっかり直射日光に当てることが重要で、日照不足だと花数が減り徒長しやすい。低温での水の与えすぎによる根腐れがよくある失敗で、最低気温が10℃を下回る前に室内へ取り込む。全草に強心配糖体を含み矢毒として使われてきた歴史があるほど毒性が強いため、ペットや子どもが誤食しないよう管理場所に十分注意する。,新規,5,3
euphorbia_obesa,ユーフォルビア・オベサ,Baseball Plant,Euphorbia obesa,,南アフリカ,15〜30℃,30〜45%,10,bright_direct,medium,生育期は土が完全に乾いてから水を与え、休眠期にあたる真冬は月1〜2回程度に控えて過湿を避ける。日当たりの良い場所を好むが、真夏の強い直射日光に急に当てると玉肌が焼けることがあるため、少しずつ慣らして日光浴させる。過湿による球体の腐敗や、日照不足による縦への間延びがよくある失敗で、風通しの良い置き場所を選ぶとよい。ユーフォルビア属の植物は白い樹液に触れると皮膚炎を起こすことがあり、ペットが誤食すると口腔内や消化器に炎症を起こす恐れがあるため注意する。,新規,5,3
euphorbia_lactea,白角キリン（ユーフォルビア・ラクテア）,White Ghost,Euphorbia lactea,,インド・スリランカ,15〜30℃,30〜50%,7,bright_indirect,medium,生育期は土の表面が乾いたら水を与え、冬は気温が下がるため水やりの間隔を大きく空けて乾燥気味に管理する。白い斑が入り葉緑素が少ない品種のため、強すぎる直射日光では白い部分が焼けやすく、レースカーテン越しなどの明るい半日陰が適している。接ぎ木株として流通することが多く、台木との接合部が蒸れると腐敗しやすいのでこの部分を濡らさないよう注意する。ユーフォルビア属の白い樹液は皮膚刺激性があり、ペットが誤食すると口腔内や消化器に炎症を起こす恐れがあるため触れさせないようにする。,新規,3,3
euphorbia_anoplia,金輪際,Euphorbia anoplia,Euphorbia anoplia,,マダガスカル,15〜30℃,30〜45%,10,bright_direct,medium,生育期は土がしっかり乾いてからたっぷり水を与え、冬の低温期は生育が緩慢になるため水やりの回数を減らす。棘のある茎を締まった姿に育てるには屋外や日当たりの良い窓辺でしっかり日光に当てることが大切で、日照不足だと茎が間延びしやすい。過湿による茎の腐敗や、寒さで傷んだ茎から腐敗が広がるトラブルが多いので、冬は室内の暖かい場所で管理する。ユーフォルビア属の白い樹液には皮膚刺激性があり、ペットが誤食すると口腔内や消化器に炎症を起こす恐れがあるため注意する。,新規,5,3
euphorbia_horrida,ホリダ,African Milk Barrel,Euphorbia horrida,,南アフリカ,15〜30℃,25〜45%,10,bright_direct,medium,生育期は土が完全に乾いてからたっぷり水を与え、休眠期の冬は月1回程度かごく控えめに管理する。サボテンに似た柱状の姿を保つには屋外や温室でしっかり日光に当てることが重要で、日照不足だと色が悪くなり間延びしやすい。過湿による根腐れや、風通しの悪い環境でのカイガラムシの発生がよくあるトラブルなので、用土の水はけと通気性を確保する。ユーフォルビア属の白い樹液には皮膚刺激性があり、ペットが誤食すると口腔内や消化器に炎症を起こす恐れがあるため注意する。,新規,5,3
euphorbia_bupleurifolia,竜角（ブケリフォリア）,Euphorbia bupleurifolia,Euphorbia bupleurifolia,,南アフリカ,15〜28℃,30〜45%,12,bright_direct,hard,パイナップルのような鱗状の塊茎が特徴で、生育期は土が乾いてから水を与え、落葉して休眠する冬はほぼ断水して管理する。屋外の日当たりの良い場所を好むが、急な強光には弱いため夏の直射日光は徐々に慣らす必要がある。過湿による塊茎の腐敗が最大のリスクで、水はけの良い用土と風通しの確保が欠かせない。ユーフォルビア属の白い樹液には皮膚刺激性があり、ペットが誤食すると口腔内や消化器に炎症を起こす恐れがあるため注意する。,新規,4,4
euphorbia_meloformis,瑠璃晃,Euphorbia meloformis,Euphorbia meloformis,,南アフリカ,15〜30℃,30〜45%,10,bright_direct,medium,メロンのような丸い姿が特徴で、生育期は土が乾いたらたっぷり水を与え、冬は生育が緩やかになるため水やりを控えめにする。しっかりした日当たりを好み、日照不足になると縦に間延びして丸みが失われるため屋外や明るい窓辺で管理する。過湿による腐敗や、群生する仔株の詰まりによる蒸れがよくあるトラブルなので、定期的に仔株を整理するとよい。ユーフォルビア属の白い樹液には皮膚刺激性があり、ペットが誤食すると口腔内や消化器に炎症を起こす恐れがあるため注意する。,新規,4,3
dioscorea_elephantipes,亀甲竜,Elephant's Foot Yam,Dioscorea elephantipes,Testudinaria elephantipes,南アフリカ,10〜25℃,30〜50%,10,bright_indirect,hard,冬型の塊根植物で、秋に発芽してつるが伸びる生育期は土が乾いたらしっかり水を与え、初夏に葉が黄変して落葉したら夏の休眠期は完全に断水する。生育期は明るい半日陰から日向で管理し、つるを支柱やフックに絡ませると姿が乱れにくい。生育期と休眠期の切り替えを見誤って夏に水を与えると塊根が腐敗しやすいので、葉の状態をよく観察して水やりを止めるタイミングを見極める。誤食による安全性は確認されていないため、ペットや子どもが塊根に触れられない場所で管理する。,新規,3,4
fockea_edulis,フォッケア・エデュリス,Fockea edulis,Fockea edulis,,南アフリカ,12〜28℃,30〜50%,12,bright_indirect,medium,つる性の塊根植物で、生育期は土が乾いたら水を与え、成長が緩やかになる冬は水やりの間隔を大きく空けて乾燥気味に管理する。強い直射日光よりも明るい半日陰を好み、つるを伸ばしたい場合は支柱を立てて誘引するとよい。過湿による塊根の腐敗や、日照不足によるつるの徒長がよくある失敗例なので、風通しの良い場所で管理する。現地では塊根が食用にされた記録もあるが、家庭で栽培する株を誤食させるのは避けるべきである。,新規,3,3
dorstenia_foetida,ドルステニア・フォエティダ,Dorstenia foetida,Dorstenia foetida,,東アフリカ・アラビア半島,15〜30℃,35〜55%,7,bright_indirect,easy,比較的丈夫で生育も早く、生育期は土の表面が乾いたら水を与え、冬に成長が緩慢になったら間隔を空けて乾燥気味に管理する。明るい半日陰から日向まで幅広く適応するが、真夏の強い直射日光では葉が焼けることがあるため注意する。実が弾けて種を飛ばす性質があり、周囲に散らばった種から思わぬ場所で発芽することがあるのもこの植物ならではの特徴である。イチジク科の植物で樹液に軽い刺激性があるとされるため、ペットが誤食しないよう注意する。,新規,3,2
adenia_glauca,アデニア・グラウカ,Adenia glauca,Adenia glauca,,マダガスカル,15〜30℃,30〜50%,10,bright_indirect,hard,生育期はつるを伸ばしながら成長するため土が乾いたらたっぷり水を与え、落葉して休眠する冬は完全に断水して管理する。強すぎる直射日光では塊根が焼けることがあるため、明るい半日陰から柔らかい日差しの当たる場所で管理するのが望ましい。低温期の水の与えすぎによる根腐れが最大のトラブルで、休眠のサインである落葉を見極めてから断水する。アデニア属の植物は毒性のある成分を含むことが知られているため、ペットや子どもが誤食しないよう管理場所に十分注意する。,新規,3,4
adenia_spinosa,アデニア・スピノサ,Adenia spinosa,Adenia spinosa,,南アフリカ,15〜30℃,30〜45%,10,bright_indirect,hard,とげのある枝を伸ばす生育期は土が乾いたら水を与え、落葉して休眠する冬は断水気味に管理する。強い直射日光よりも明るい場所を好み、屋外で管理する場合は真夏の西日を避けるとよい。寒さや過湿に弱く、休眠期に水を与えすぎると塊根が腐敗しやすいので注意する。アデニア属の植物は毒性のある成分を含むことが知られているため、ペットや子どもが誤食しないよう管理場所に十分注意する。,新規,3,4
